Locus ID 	Symbol 
18046	Nfyc
18071	Nhlh1
18072	Nhlh2
18088	Nkx2-2
18089	Nkx2-3
18091	Nkx2-5
18092	Nkx2-6
18094	Nkx2-9
18095	Nkx3-1
18096	Nkx6-1
18109	Nmyc1
18124	Nr4a3
18128	Notch1
18129	Notch2
18131	Notch3
18132	Notch4
18140	Uhrf1
18142	Npas1
18143	Npas2
18171	Nr1i2
18181	Nrf1
18185	Nrl
18193	Nsd1
18198	Musk
18227	Nr4a2
18291	Og2x
18292	Og9x
18393	Orc2l
18412	Sqstm1
18420	Otp
18423	Otx1
18424	Otx2
18426	Ovol1
18432	Mybbp1a
18503	Pax1
18504	Pax2
18505	Pax3
18506	Pax4
18507	Pax5
18508	Pax6
18509	Pax7
18510	Pax8
18511	Pax9
18514	Pbx1
18515	Pbx2
18516	Pbx3
18519	Pcaf
18572	Pdcd11
18606	Enpp2
18609	Ipf1
18612	Etv4
18616	Peg3
18617	Pem
18626	Per1
18627	Per2
18628	Per3
18667	Pgr
18676	Phf2
18685	Phtf1
18736	Pit1
18740	Pitx1
18741	Pitx2
18742	Pitx3
18771	Pknox1
18789	Papola
18854	Pml
18933	Prrx1
18935	Phox2b
18983	Cnot7
18985	Pou2af1
18986	Pou2f1
18987	Pou2f2
18988	Pou2f3
18990	Pou3f-rs1
18991	Pou3f1
18992	Pou3f2
18993	Pou3f3
18994	Pou3f4
18995	Pou4f-rs1
18996	Pou4f1
18997	Pou4f2
18998	Pou4f3
18999	Pou5f1
19009	Pou6f1
19013	Ppara
19014	Pparbp
19015	Ppard
19016	Pparg
19017	Ppargc1a
19018	Scand1
19049	Ppp1r1b
19056	Ppp3cb
19060	Ppp5c
19084	Prkar1a
19099	Mapk8ip
19127	Prop1
19130	Prox1
19182	Psmc3
19184	Psmc5
19202	Psx1
19213	Ptf1a
19231	Ptma
19290	Pura
19291	Purb
19326	Rab11b
19330	Rab18
19377	Rai1
19401	Rara
19411	Rarg
19434	Rax
19645	Rb1
19650	Rbl1
19651	Rbl2
19664	Rbpsuh
19668	Rbpsuhl
19687	Recc1
19696	Rel
19697	Rela
19698	Relb
19708	Dpf2
19712	Rest
19724	Rfx1
19725	Rfx2
19726	Rfx3
19727	Rfxank
19763	Ring1
19820	Rnf12
19822	Rnf4
19826	Rnps1
19883	Rora
19885	Rorc
20016	Rpo1-1
20017	Rpo1-2
20018	Rpo1-3
20019	Rpo1-4
20020	Polr2a
20021	Polr2c
20022	Polr2j
20024	Rpo2tc1
20128	Trim30
20174	Ruvbl2
20181	Rxra
20182	Rxrb
20183	Rxrg
20185	Ncor1
20186	Nr1h4
20204	Prrx2
20218	Khdrbs1
20220	Sap18
20230	Satb1
20231	Nkx1-2
20232	Nkx1-1
20289	Scx
20371	Foxp3
20375	Sfpi1
20384	Sfrs5
20409	Ostf1
20429	Shox2
20439	Siah2
20464	Sim1
20465	Sim2
20466	Sin3a
20467	Sin3b
20471	Six1
20472	Six2
20473	Six3
20474	Six4
20475	Six5
20476	Six6
20480	Skd3
20481	Ski
20583	Snai2
20585	Smarca3
20586	Smarca4
20587	Smarcb1
20589	Ighmbp2
20591	Jarid1c
20592	Jarid1d
20602	Ncor2
20613	Snai1
20638	Snrpb
20664	Sox1
20665	Sox10
20666	Sox11
20667	Sox12
20668	Sox13
20669	Sox14
20670	Sox15
20671	Sox17
20672	Sox18
20673	Sox19
20674	Sox2
20675	Sox3
20677	Sox4
20678	Sox5
20679	Sox6
20680	Sox7
20681	Sox8
20682	Sox9
20683	Sp1
20687	Sp3
20688	Sp4
20689	Sall3
20728	Spic
20787	Srebf1
20788	Srebf2
20807	Srf
20819	Srst
20833	Ssrp1
20841	Zfp143
20842	Stag1
20846	Stat1
20847	Stat2
20848	Stat3
20849	Stat4
20850	Stat5a
20851	Stat5b
20852	Stat6
20893	Bhlhb2
20901	Strap
20904	Strm
20922	Supt4h
20923	Supt4h2
20924	Supt5h
20997	T
21339	Taf1a
21340	Taf1b
21341	Taf1c
21343	Taf6
21349	Tal1
21350	Tal2
21374	Tbp
21375	Tbr1
21380	Tbx1
21382	Tbx13
21383	Tbx14
21384	Tbx15
21385	Tbx2
21386	Tbx3
21387	Tbx4
21388	Tbx5
21389	Tbx6
21399	Tcea1
21400	Tcea2
21401	Tcea3
21405	Tcf1
21406	Tcf12
21407	Tcf15
21408	Zfp354a
21410	Tcf2
21411	Tcf20
21412	Tcf21
21413	Tcf4
21414	Tcf7
21415	Tcf3
21416	Tcf7l2
21417	Zfhx1a
21418	Tcfap2a
21419	Tcfap2b
21420	Tcfap2c
21422	Tcfcp2
21423	Tcfe2a
21425	Tcfeb
21426	Tcfec
21427	Tcfl1
21428	Tcfl4
21429	Ubtf
21652	Phf1
21674	Sry
21676	Tead1
21677	Tead2
21678	Tead3
21679	Tead4
21685	Tef
21780	Tfam
21781	Tfdp1
21783	Tfdp2
21804	Tgfb1i1
21807	Tgfb1i4
21815	Tgif
21833	Thra
21834	Thrb
21835	Thrsp
21843	Tial1
21847	Tieg1
21848	Trim24
21849	Trim28
21869	Titf1
21885	Tle1
21886	Tle2
21887	Tle3
21888	Tle4
21907	Nr2e1
21908	Tlx1
21909	Tlx2
21917	Tmpo
21929	Tnfaip3
21945	Dedd
21981	Ppp1r13b
22025	Nr2c1
22026	Nr2c2
22051	Trip6
22057	Tob1
22059	Trp53
22061	Trp63
22062	Trp73
22088	Tsg101
22160	Twist1
22200	Ube1c
22221	Ubp1
22255	Uncx4.1
22259	Nr1h3
22260	Nr1h2
22278	Usf1
22282	Usf2
22286	Utf1
22326	Vax1
22337	Vdr
22383	Wbp7
22385	Baz1b
22431	Wt1
22433	Xbp1
22608	Nsep1
22632	Yy1
22634	Plagl1
22639	Zfa
22640	Zfp1
22642	Zfp100
22646	Zfp105
22654	Zfp13
22658	Rnf110
22661	Zfp148
22666	Zfp161
22668	Zfp162
22678	Zfp2
22680	Zfp207
22685	Zfp239
22689	Zfp27
22691	Zfp29
22694	Zfp35
22695	Zfp36
22696	Zfp37
22697	Zipro1
22698	Zfp39
22700	Zfp40
22701	Zfp41
22702	Zfp42
22704	Zfp46
22709	Zfp51
22710	Zfp52
22712	Zfp54
22715	Zfp57
22717	Zfp59
22718	Zfp60
22719	Zfp61
22722	Zfp64
22750	Zfp9
22751	Zfp90
22754	Zfp92
22755	Zfp93
22756	Zfp94
22757	Zfp95
22758	Zfp96
22759	Zfp97
22761	Zfpm1
22762	Zfpm2
22764	Zfx
22767	Zfy1
22768	Zfy2
22770	Zhx1
22771	Zic1
22772	Zic2
22773	Zic3
22775	Zik1
22776	Zim1
22778	Zfpn1a1
22779	Zfpn1a2
22780	Zfpn1a3
23808	Ash2l
23827	Bpnt1
23849	Copeb
23850	Creg
23856	Dido1
23857	Dmtf1
23871	Ets1
23872	Ets2
23885	Gcl
23894	Gtf2h2
23942	Mta2
23957	Nr0b2
23958	Nr2e3
23989	Thrap4
23994	Dazap2
24068	Sra1
24074	Taf7
24075	Taf10
24113	Vax2
24116	Whsc2
24135	Zfp68
24136	Zfhx1b
26356	Ing1
26371	AW210570
26379	Esrra
26380	Esrrb
26381	Esrrg
26386	Hsf4
26404	Map3k12
26413	Mapk1
26417	Mapk3
26419	Mapk8
26423	Nr5a1
26424	Nr5a2
26427	Creb3l1
26461	Bdp1
26465	Zfp146
26573	Irebf1
26754	Cops5
26927	Foxl2
26939	Polr3e
27049	Etv3
27056	Irf5
27057	Ncoa4
27059	Sh3d19
27081	Zfp275
27140	Tlx3
27217	Mixl1
27223	Trp53bp1
27224	Tceb3
27274	Zfp354b
27386	Npas3
28019	Ing4
29806	Limd1
29808	Mga
29813	Zfp385
29861	Neud4
29871	Scmh1
30046	Zfp292
30051	Spdef
30794	Pdlim4
30841	Fbxl10
30923	Foxe3
30927	Snai3
30928	Zfp238
30942	Hnf4g
30944	Zfp354c
30946	Abt1
30951	Cbx8
50496	E2f6
50524	Sall2
50721	Sirt6
50754	Fbxw7
50777	Nrbf2
50783	Lsm4
50794	Klf13
50796	Dmrt1
50817	Solh
50868	Keap1
50887	Nsbp1
50907	Preb
50913	Olig2
50914	Olig1
50916	Irx4
50996	Pdcd7
51792	Ppp2r1a
51813	Ccnc
52024	D19Ertd675e
52040	Ppp1r10
52231	D1Ertd161e
52502	Carhsp1
52609	D15Ertd417e
52615	D11Ertd530e
52705	Hrb2
52708	D12Ertd748e
52712	Zfp535
52897	D11Bwg0517e
53314	Batf
53317	Plrg1
53357	Pla2g6
53380	Psmd10
53415	Htatip2
53417	Hif3a
53626	Insm1
53868	Rab25
53869	Rab11a
53970	Rfx5
53975	Ddx20
54006	Deaf1
54123	Irf7
54131	Irf3
54132	Pdlim1
54139	Irf6
54169	Myst4
54343	Atf7ip
54352	Irx5
54388	Hils1
54422	Barhl1
54446	Nfat5
54562	Lrrc6
54601	Mllt7
54633	Pqbp1
54678	Zfp108
54711	Plagl2
55927	Hes6
55942	Sertad1
55994	Madh9
56030	D1Bwg0491e
56070	Tcerg1
56196	Ttrap
56198	Heyl
56218	Zfp278
56220	Zfp386
56222	Cited4
56233	Hdac7a
56275	Rbm14
56309	Mycbp
56312	Nupr1
56314	Zfp113
56321	Aatf
56353	Rybp
56380	Arid3b
56381	Mint
56404	Trip4
56406	Ncoa6
56449	Csda
56458	Foxo1
56469	Pias1
56484	Foxo3
56490	Zfp288
56501	Elf4
56503	Gbif
56505	Ruvbl1
56522	Papolb
56523	Pmfbp1
56525	Zfp235
56613	Rps6ka4
56642	Ankrd2
56707	Zfp111
56736	Rnf14
56771	Usp49
56784	Garnl1
56787	Ascl3
56805	Zbtb33
56809	Gmeb1
56856	Insm2
56869	Zfp109
57080	Gtf2ird1
57230	Hcngp
57246	Tbx20
57314	Th1l
57316	C1d
57376	Smarce1
57737	Ehox
57745	Zfp112
57748	Jmy
57756	Fhl5
57765	Tbx21
57782	Rbak
58172	Sertad2
58180	Hic2
58198	Sall1
58202	A730008L03Rik
58206	Rog
58234	Shank3
58805	Wbscr14
59004	Piasy
59021	Rab2
59024	Tnrc11
59026	Ureb1
59035	Carm1
59057	Zfp191
59058	Bhlhb5
60345	Nrip2
60406	Sap30
60611	Foxj2
64050	Gas41
64144	Mllt1
64290	Foxb1
64379	Irx6
64383	Sirt2
64384	Sirt3
64406	Sp5
64453	D10Jhu82e
64685	Nmi
65020	Zfp110
65247	Asb1
65255	Asb4
65256	Asb2
65257	Asb3
66056	2300009P13Rik
66118	1110005A23Rik
66136	Znrd1
66213	Crsp9
66233	Dmap1
66277	Klf15
66352	Blzf1
66376	3100002L24Rik
66420	Polr2e
66464	Taf12
66491	Polr2l
66505	Zmynd11
66556	Drap1
66596	Gtf3a
66622	5730410I19Rik
66634	Mcm8
66642	Ctnnbl1
66671	Ccnh
66698	4733401N12Rik
66729	4921520G13Rik
66799	6130401J04Rik
66867	Hmg20a
66880	1200013F24Rik
66923	2610016F04Rik
66930	Fank1
66959	2310043K02Rik
66970	Ssbp2
66980	Zdhhc6
66985	2400009B11Rik
67057	Yaf2
67065	Polr3d
67122	Nrarp
67150	Rnf141
67151	Psmd9
67155	Smarca2
67199	Pfdn1
67235	Zfp99
67260	Lass4
67279	3110004H13Rik
67288	3110031B13Rik
67367	1810007M14Rik
67370	Zfp606
67379	Dedd2
67381	Vdrip
67389	1110035L05Rik
67419	3632451O06Rik
67439	Xab2
67575	4930430A15Rik
67657	Rabl3
67673	Tceb2
67692	1700020N01Rik
67710	Polr2g
67815	Sec14l2
67847	Sncaip
67873	2410018C20Rik
67949	Mki67ip
67985	Ssxb1
67993	Nudt12
68040	3110024A21Rik
68153	Gtf2e2
68196	Hsbp1
68268	Zdhhc21
68346	Sirt5
68479	Phf5a
68558	Ankra2
68701	1110033I14Rik
68705	Gtf2f2
68776	Taf11
68839	1110054N06Rik
68842	Tulp4
68854	Asb11
68910	Zfp467
68911	1190004M21Rik
68992	Zfp580
69020	1500031N24Rik
69125	Cnot8
69167	Ppp1r12b
69168	1810037G04Rik
69188	Mll5
69234	2810407K09Rik
69241	2610028L19Rik
69257	Elf2
69260	Ing1l
69299	Asb9
69317	1700001F22Rik
69389	1700014N06Rik
69539	2300002D11Rik
69606	2310020P08Rik
69656	2310042L19Rik
69716	Trip13
69790	Thrap6
69833	1810060D16Rik
69890	Zfp219
69920	Polr2i
69944	2810021J22Rik
70073	1700030J15Rik
70122	Mllt3
70127	Dpf3
70315	Hdac8
70350	Basp1
70392	Asb12
70408	3010019O03Rik
70428	Polr3b
70459	2610303A01Rik
70497	Arhgap17
70508	Bbx
70601	5730461K03Rik
70625	Crsp7
70637	5730521P14Rik
70650	Zcchc8
70673	Prdm16
70779	Prdm5
70796	Zdhhc1
70797	4631416I11Rik
70823	Hmgb2l1
70859	4921509B22Rik
70981	4931423N10Rik
71041	Rnf134
71063	Zfp597
71131	4933416E05Rik
71137	Rfx4
71163	4933426I21Rik
71176	Fbxo24
71241	Dmrtc2
71280	4933429H19Rik
71371	Arid5b
71375	Ches1
71409	Fmnl2
71458	Bcor
71468	Obox1
71592	Pogk
71597	9130012O13Rik
71702	Cdc5l
71722	Cic
71752	1300004C11Rik
71767	1300019N10Rik
71777	Ing3
71782	1110001J12Rik
71793	1110020M19Rik
71828	Gtf2a1lf
71834	Zfp297b
71838	Phf7
71839	1700012B18Rik
71939	2310076O14Rik
71949	Lass5
71990	Ddx54
71991	Ckn1
72057	Phf10
72074	Harp
72135	2600014C22Rik
72180	2810405K07Rik
72195	2610524B01Rik
72199	Mms19l
72290	Lsm11
72293	Nkd2
72323	Asb6
72325	2410004N05Rik
72388	Ankrd3
72459	2600017A12Rik
72465	Zfp131
72475	Ssbp3
72556	2700043M03Rik
72567	Bclaf1
72615	2700067D09Rik
72720	Zfp248
72727	B3Gat3
72739	Skz1
72823	2810455B10Rik
72949	Ccnt2
72958	2900054J07Rik
73178	Wasl
73181	Nfatc4
73340	Nptxr
73389	Hbp1
73451	1700065O13Rik
73469	Rnf38
73503	Mbd3l1
73610	1700123A16Rik
73614	1700123J19Rik
73844	4933409K03Rik
73845	4933417L02Rik
73945	D8Ertd69e
74007	Btbd11
74068	Gasz
74106	1200006M05Rik
74120	Zfp263
74123	Foxp4
74149	1300003B13Rik
74164	Nfx1
74168	Zdhhc16
74197	Gtf2e1
74282	1700086D15Rik
74318	Hod
74322	Cxxc1
74326	Hnrpr
74335	Xrcc3
74352	Zfp84
74377	Hsf2bp
74481	4933430F08Rik
74533	Zfp336
74561	9130417I07Rik
74570	9130423L19Rik
74838	Narg1
75196	4930532L20Rik
75199	4930539I12Rik
75210	Prr3
75291	Zbtb3
75305	4930564N15Rik
75339	4930548G07Rik
75387	Sirt4
75480	1700003F12Rik
75482	Hspb9
75507	1700013G10Rik
75572	Acyp2
75599	2010005A06Rik
75605	Jarid1b
75646	Rai14
75725	4932409F11Rik
75901	Mitc1
76007	Zfp198
76022	5830417I10Rik
76294	Asb5
76308	1110011F09Rik
76365	Tbx18
76389	1700012M14Rik
76467	Mrsb
76572	1700012H05Rik
76580	2210008I11Rik
76793	Snip1
76803	2410141K09Rik
76804	Jmjd2c
76834	2810438M17Rik
76893	Lass2
76900	Ssbp4
77057	4921524J06Rik
77114	6030426L16Rik
77117	6720457D02Rik
77264	Zfp142
77286	9430034D17Rik
77318	C030011J08Rik
77480	C330002I19Rik
77683	9230102N17Rik
77889	Lbh
77907	9230110K08Rik
77913	A030003K21Rik
78020	4930522L14Rik
78088	5730467H21Rik
78246	2410141M05Rik
78251	4921504N20Rik
78284	Creb3l4
78455	Helz
78469	1700090G07Rik
78541	Asb8
78619	9530049C15Rik
78656	Brd8
78699	C330022B21Rik
78703	C330013J21Rik
78783	Brpf1
78829	0610009M14Rik
78910	Asb15
78912	Sp2
78921	9130019O22Rik
78929	Polr3h
79221	Hdac9
79233	Zfp319
79362	Bhlhb3
79401	Spz1
80283	Abtb1
80509	2210021A15Rik
80720	Pbx4
80732	Mynn
80859	AA408868
80902	Zfp202
81601	Htatip
81630	Zfp297
81703	Jundm2
81845	Bat4
81879	Tcfcp2l1
83383	Tfap4
83395	Sp6
83396	Glis2
83557	Lin28
83602	Gtf2a1
83925	Trps1
83993	Tbx19
84653	Hes7
93674	Cml3
93681	Zfp192
93686	Rbm9
93691	Klf7
93759	Sirt1
93760	Arid1a
93761	Smarca1
93762	Smarca5
93837	Dach2
93871	Wdr9
94047	Cecr6
94112	Pcqap
94187	Zfp423
94275	Maged1
96979	Ptges2
97064	2310058J06Rik
97165	Hmgb2
98053	2810405L04Rik
98403	Zfp451
99377	Sall4
99730	Taf13
100090	Hkr3
100563	AF013969
100710	Aprin
100978	AW538212
101095	Zfp282
101206	Tada3l
102162	Taf5l
102209	Snapc2
102334	Ankrd10
103136	Maml1
RIKEN cDNA 2310058A11 gene	Hoxb2
103806	Hfh7
103889	Zfp119
104328	Isl2
104349	Rcor1
104360	Psx2
104383	E2f4
104384	Rab15
104394	AI481750
104886	Tcf19
105377	Gsh5
RIKEN cDNA C730024G01 gene	Myt2
105594	Atf5
RIKEN cDNA C330003B14 gene	Zfp339
105859	Prrxl1
106795	Ankrd1
106894	Bmyc
RIKEN cDNA A630042L21 gene	Gcm2
107351	Chd4
RIKEN cDNA D330024H06 gene	Cdk9
107433	Nkx2-7
107499	Surb7
107503	Taf9
107568	Foxp1
RIKEN cDNA 8030445B08 gene	Zdhhc15
107586	Ankhd1
107751	Uhrf2
107765	Supt3h
107771	Tbx10
107889	Lmo1
107932	Hoxc11
107951	Ank2
108060	Zfp98
108098	Zfp91
108143	Hfh5
108655	Hfh6
108672	Hfh3
108857	Tcfap4
109113	Dek
109115	Gsh3
109575	Dbx2
109594	Nol1
109663	Bat8
109676	Sprm1
109889	Hivep1
109910	Mjd
109958	Hoxb3s
109972	Nztf2
109973	Lmx1a
109995	Nr3c2
110052	Sdccag33
110061	Foxe1
110068	Pou5f1-rs10
110109	Mop3
110147	Foxp2
110506	Zfp295
110521	Tle6
110616	Brdt
110641	Pawr
110647	Vsx1
110648	Foxn4
110784	Baz2a
110796	Mta1
110805	Mta3
110913	Sox16
112077	Taf4b
114142	Ivns1abp
114565	Asb10
114606	Klf16
114642	Otx3
114774	Trrap
114889	Centb5
116810	Ankrd6
116848	Rem2
116870	Sp7
116871	Ubn1
116912	Scrt1
117168	Zfp287
117198	Rfxap
117590	Hdac10
118445	Rnpc2
140477	Ppargc1b
140490	Zfp617
140500	Ash1l
140577	Clp1
140743	Bhc80
170574	MGC39058
170644	Ell2
170729	Jmjd2b
170740	Gscl
170767	Pknox2
170787	Dot1l
170791	Kbtbd9
170826	Creb3l3
170938	Hmgcs1
192195	Sirt7
192231	D5Ertd679e
192285	Taf3
192651	DXImx41e
192657	Tcfe3
193796	Hoxc10
195333	Mlr1
208076	Zfp180
208258	Zswim4
RIKEN cDNA A930021G21 gene	BC055310
208266	Mlr2
208292	Satb2
RIKEN cDNA 9030612M13 gene	Centg3
208439	Sox30
208677	Mll
208715	Myocd
209011	L3mbtl2
209357	Jarid1a
209361	Vgll2
209416	Polrmt
209446	Thrap5
209448	Cart1
209707	Gls2
210135	Ugp2
210162	Tada2l
RIKEN cDNA 9430065N20 gene	Hlf
211378	Myst2
RIKEN cDNA 6720489N17 gene	Nr1d1
212168	Btf3
212276	Glmr
212391	Rarb
212712	Sox21
213010	Mkl1
RIKEN cDNA A830025F02 gene	Atf7
213990	ORF63
214105	Zfp523
214162	Hszfp36
214384	Trerf1
214669	AI255170
214899	AU018122
215031	Fbxl11
216151	Taf6l
216154	Rorb
216285	Dmrt2
216456	Taf5
216558	Zfp281
216578	Atf6
RIKEN cDNA 9630006B20 gene	Elys
217031	Tcfap2d
217082	Pms1
217127	Snapc4
217166	XPMC2H
217558	Zdhhc5
RIKEN cDNA 6030408C04 gene	Ebf4
218030	Nkx2-4
RIKEN cDNA D130006K24 gene	Trib3
218440	Asxl1
RIKEN cDNA 6430502M16 gene	Tgif2
218490	Ppp1r16b
218624	Ncoa5
218772	Zfp334
218989	Taf4a
RIKEN cDNA 6720456H20 gene	Gmeb2
219150	Pbxip1
RIKEN cDNA F830020C16 gene	D3Jfr1
223227	Gtf2b
223690	Ddx58
RIKEN cDNA C730048E16 gene	Zfp189
223701	Glis1
223922	Jmjd2a
224419	Thrap3
224585	Tardbp
RIKEN cDNA 6720480D16 gene	Phf13
224656	Gbx1
224694	Mll3
224829	Polr2b
224902	AI591476
224903	Creb5
225876	Hdac11
225895	LOC232337
225998	Ppp1r12c
226049	Hkr2
226182	Zfp592
226442	Zf
226641	Gtf3c1
226747	Zfp553
226896	BC026432
227099	Fus
227644	LOC233987
227656	Zfp612
227940	Crsp6
RIKEN cDNA 5830435C13 gene	Zfp426
228136	Ankrd25
228598	BC005471
228731	Zfp145
