symbol	function description	source	confidence code	Previous.Symbols	Synonyms
CEBPG	CCAAT/enhancer binding protein (C/EBP), gamma	based on GO term	CC:1		GPE1BP, IG/EBP-1
CIITA	class II, major histocompatibility complex, transactivator	based on GO term	CC:1	MHC2TA	C2TA, NLRA
CIR1	corepressor interacting with RBPJ, 1	based on GO term	CC:1		CIR
CITED1	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 1	based on GO term	CC:1	MSG1	
CITED2	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 2	based on GO term	CC:1		MRG1
CLOCK	clock homolog (mouse)	based on GO term	CC:1		KIAA0334, KAT13D, bHLHe8
CNBP	CCHC-type zinc finger, nucleic acid binding protein	based on GO term	CC:1	DM2, ZNF9	RNF163, ZCCHC22, CNBP1
CNOT7	CCR4-NOT transcription complex, subunit 7	based on GO term	CC:1	CAF1	
CNOT8	CCR4-NOT transcription complex, subunit 8	based on GO term	CC:1	POP2	CAF1, hCAF1, CALIF
CREB1	cAMP responsive element binding protein 1	based on GO term	CC:1		
CREB3	cAMP responsive element binding protein 3	based on GO term	CC:1		LZIP, Luman
CREB3L1	cAMP responsive element binding protein 3-like 1	based on GO term	CC:1		OASIS
CREB3L2	cAMP responsive element binding protein 3-like 2	based on GO term	CC:1		BBF2H7, TCAG_1951439
CREB3L3	cAMP responsive element binding protein 3-like 3	based on GO term	CC:1		CREB-H
CREB3L4	cAMP responsive element binding protein 3-like 4	based on GO term	CC:1		AIbZIP, CREB4, CREB3, hJAL, ATCE1
CREB5	cAMP responsive element binding protein 5	based on GO term	CC:1		H_GS165L15.1, CRE-BPA
CREBBP	CREB binding protein	based on GO term	CC:1	RSTS	RTS, CBP, KAT3A
CREBL2	cAMP responsive element binding protein-like 2	based on GO term	CC:1		
CREBZF	CREB/ATF bZIP transcription factor	based on GO term	CC:1		ZF
CREG1	cellular repressor of E1A-stimulated genes 1	based on GO term	CC:1	CREG	
CREM	cAMP responsive element modulator	based on GO term	CC:1		hCREM-2
CRX	cone-rod homeobox	based on GO term	CC:1	CORD2	CRD, LCA7, OTX3
CSDA	cold shock domain protein A	based on GO term	CC:1		dbpA, ZONAB, CSDA1
CSRNP1	cysteine-serine-rich nuclear protein 1	based on GO term	CC:1	AXUD1	URAX1, DKFZp566F164, FAM130B, TAIP-3
CSRNP2	cysteine-serine-rich nuclear protein 2	based on GO term	CC:1	C12orf22, FAM130A1	C12ORF2, TAIP-12, PPP1R72
CSRNP3	cysteine-serine-rich nuclear protein 3	based on GO term	CC:1	FAM130A2	FLJ32093, TAIP-2, PPP1R73
CTBP1	C-terminal binding protein 1	based on GO term	CC:1		BARS
CTCF	CCCTC-binding factor (zinc finger protein)	based on GO term	CC:1		
CTNNB1	catenin (cadherin-associated protein), beta 1, 88kDa	based on GO term	CC:1	CTNNB	beta-catenin
CUX1	cut-like homeobox 1	based on GO term	CC:1	CUTL1	CDP, CDP1, CUX, CUT, Clox, CDP/Cut, CDP/Cux, Cux/CDP, CASP, GOLIM6
CUX2	cut-like homeobox 2	based on GO term	CC:1	CUTL2	KIAA0293, CDP2
DACH1	dachshund homolog 1 (Drosophila)	based on GO term	CC:1	DACH	
DBP	D site of albumin promoter (albumin D-box) binding protein	based on GO term	CC:1		DABP
DBX1	developing brain homeobox 1	based on GO term	CC:1		
DBX2	developing brain homeobox 2	based on GO term	CC:1		FLJ16139
DDIT3	DNA-damage-inducible transcript 3	based on GO term	CC:1		CHOP10, GADD153, CHOP
DEAF1	deformed epidermal autoregulatory factor 1 (Drosophila)	based on GO term	CC:1		NUDR, SPN, ZMYND5
DLX1	distal-less homeobox 1	based on GO term	CC:1		
DLX2	distal-less homeobox 2	based on GO term	CC:1		TES-1
DLX3	distal-less homeobox 3	based on GO term	CC:1		
DLX4	distal-less homeobox 4	based on GO term	CC:1	DLX7, DLX9	DLX8, BP1
DLX5	distal-less homeobox 5	based on GO term	CC:1		
DLX6	distal-less homeobox 6	based on GO term	CC:1		
DMBX1	diencephalon/mesencephalon homeobox 1	based on GO term	CC:1	OTX3	PAXB
DMRT1	doublesex and mab-3 related transcription factor 1	based on GO term	CC:1		DMT1
DMRT2	doublesex and mab-3 related transcription factor 2	based on GO term	CC:1		
DMRT3	doublesex and mab-3 related transcription factor 3	based on GO term	CC:1	DMRTA3	
DMRTA1	DMRT-like family A1	based on GO term	CC:1		
DMRTA2	DMRT-like family A2	based on GO term	CC:1		
DMRTB1	DMRT-like family B with proline-rich C-terminal, 1	based on GO term	CC:1		
DMRTC2	DMRT-like family C2	based on GO term	CC:1		
DMTF1	cyclin D binding myb-like transcription factor 1	based on GO term	CC:1		DMP1, DMTF, hDMP1
DPRX	divergent-paired related homeobox	based on GO term	CC:1		
DRAP1	DR1-associated protein 1 (negative cofactor 2 alpha)	based on GO term	CC:1		NC2-alpha
DRGX	dorsal root ganglia homeobox	based on GO term	CC:1	PRRXL1	DRG11
DUX1	double homeobox, 1	based on GO term	CC:1		
DUX2	double homeobox, 2	based on GO term	CC:1		
DUX3	double homeobox, 3	based on GO term	CC:1		
DUX4	double homeobox, 4	based on GO term	CC:1		
DUX5	double homeobox, 5	based on GO term	CC:1		
DUXA	double homeobox A	based on GO term	CC:1		
E2F1	E2F transcription factor 1	based on GO term	CC:1	RBBP3	RBP3
E2F2	E2F transcription factor 2	based on GO term	CC:1		E2F-2
E2F3	E2F transcription factor 3	based on GO term	CC:1		
E2F4	E2F transcription factor 4, p107/p130-binding	based on GO term	CC:1		E2F-4
E2F5	E2F transcription factor 5, p130-binding	based on GO term	CC:1		
E2F6	E2F transcription factor 6	based on GO term	CC:1		E2F-6
E2F7	E2F transcription factor 7	based on GO term	CC:1		
E2F8	E2F transcription factor 8	based on GO term	CC:1		FLJ23311
E4F1	E4F transcription factor 1	based on GO term	CC:1		E4F
EBF1	early B-cell factor 1	based on GO term	CC:1	EBF	OLF1
ECSIT	ECSIT homolog (Drosophila)	based on GO term	CC:1		SITPEC
EDF1	endothelial differentiation-related factor 1	based on GO term	CC:1		EDF-1
EGR1	early growth response 1	based on GO term	CC:1		TIS8, G0S30, NGFI-A, KROX-24, ZIF-268, AT225, ZNF225
EGR2	early growth response 2	based on GO term	CC:1	KROX20	
EGR3	early growth response 3	based on GO term	CC:1		PILOT
EGR4	early growth response 4	based on GO term	CC:1		NGFI-C, PAT133
EHF	ets homologous factor	based on GO term	CC:1		ESE3, ESEJ
ELF1	E74-like factor 1 (ets domain transcription factor)	based on GO term	CC:1		
ELF2	E74-like factor 2 (ets domain transcription factor)	based on GO term	CC:1		EU32, NERF, NERF-2, NERF-1A, NERF-1B
ELF3	E74-like factor 3 (ets domain transcription factor, epithelial-specific )	based on GO term	CC:1	ESX	EPR-1, ESE-1, ERT
ELF4	E74-like factor 4 (ets domain transcription factor)	based on GO term	CC:1		MEF, ELFR
ELF5	E74-like factor 5 (ets domain transcription factor)	based on GO term	CC:1		
ELK1	ELK1, member of ETS oncogene family	based on GO term	CC:1		
ELK3	ELK3, ETS-domain protein (SRF accessory protein 2)	based on GO term	CC:1		ERP, NET, SAP2
ELK4	ELK4, ETS-domain protein (SRF accessory protein 1)	based on GO term	CC:1		SAP1
ELL2	elongation factor, RNA polymerase II, 2	based on GO term	CC:1		
EMX1	empty spiracles homeobox 1	based on GO term	CC:1		
EMX2	empty spiracles homeobox 2	based on GO term	CC:1		
EN1	engrailed homeobox 1	based on GO term	CC:1		
EN2	engrailed homeobox 2	based on GO term	CC:1		
ENO1	enolase 1, (alpha)	based on GO term	CC:1	ENO1L1, MPB1	PPH, MBP-1
EOMES	eomesodermin homolog (Xenopus laevis)	based on GO term	CC:1		TBR2
EP300	E1A binding protein p300	based on GO term	CC:1		p300, KAT3B
EPAS1	endothelial PAS domain protein 1	based on GO term	CC:1		MOP2, PASD2, HIF2A, HLF, bHLHe73
ERF	Ets2 repressor factor	based on GO term	CC:1		PE-2, PE2
ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	based on GO term	CC:1		erg-3, p55
ESR1	estrogen receptor 1	based on GO term	CC:1	ESR	NR3A1, Era
ESR2	estrogen receptor 2 (ER beta)	based on GO term	CC:1		NR3A2, Erb
ESRRA	estrogen-related receptor alpha	based on GO term	CC:1	ESRL1	ERR1, ERRalpha, NR3B1, ERRa
ESRRB	estrogen-related receptor beta	based on GO term	CC:1	ESRL2, DFNB35	ERR2, ERRbeta, NR3B2, ERRb
ESRRG	estrogen-related receptor gamma	based on GO term	CC:1		
ESX1	ESX homeobox 1	based on GO term	CC:1	ESX1L	ESXR1
ETS1	v-ets erythroblastosis virus E26 oncogene homolog 1 (avian)	based on GO term	CC:1	EWSR2	FLJ10768, ETS-1
ETS2	v-ets erythroblastosis virus E26 oncogene homolog 2 (avian)	based on GO term	CC:1		
ETV1	ets variant 1	based on GO term	CC:1		ER81
ETV2	ets variant 2	based on GO term	CC:1		ER71
ETV3	ets variant 3	based on GO term	CC:1		PE-1
ETV3L	ets variant 3-like	based on GO term	CC:1		FLJ16478
ETV4	ets variant 4	based on GO term	CC:1		E1A-F, E1AF
ETV5	ets variant 5	based on GO term	CC:1		ERM
ETV6	ets variant 6	based on GO term	CC:1		TEL
ETV7	ets variant 7	based on GO term	CC:1		TEL2, TEL-2
EVX1	even-skipped homeobox 1	based on GO term	CC:1		
EVX2	even-skipped homeobox 2	based on GO term	CC:1		
FEV	FEV (ETS oncogene family)	based on GO term	CC:1		Pet-1
FLI1	Friend leukemia virus integration 1	based on GO term	CC:1		SIC-1, EWSR2
FOS	FBJ murine osteosarcoma viral oncogene homolog	based on GO term	CC:1		c-fos, AP-1
FOSB	FBJ murine osteosarcoma viral oncogene homolog B	based on GO term	CC:1		G0S3, GOSB, GOS3, AP-1, MGC42291, DKFZp686C0818
FOSL1	FOS-like antigen 1	based on GO term	CC:1		fra-1
FOSL2	FOS-like antigen 2	based on GO term	CC:1		FRA2, FLJ23306
FOXA1	forkhead box A1	based on GO term	CC:1	HNF3A	
FOXA2	forkhead box A2	based on GO term	CC:1	HNF3B	
FOXA3	forkhead box A3	based on GO term	CC:1	HNF3G	
FOXB1	forkhead box B1	based on GO term	CC:1		HFKH-5, FKH5
FOXB2	forkhead box B2	based on GO term	CC:1		bA159H20.4
FOXC1	forkhead box C1	based on GO term	CC:1	FKHL7, IRID1	FREAC3, ARA, IGDA, IHG1
FOXC2	forkhead box C2 (MFH-1, mesenchyme forkhead 1)	based on GO term	CC:1	FKHL14	MFH-1
FOXD1	forkhead box D1	based on GO term	CC:1	FKHL8	FREAC4
FOXD2	forkhead box D2	based on GO term	CC:1	FKHL17	FREAC9
FOXD3	forkhead box D3	based on GO term	CC:1		Genesis, HFH2
FOXD4	forkhead box D4	based on GO term	CC:1	FKHL9	FREAC5, FOXD4a
FOXD4L1	forkhead box D4-like 1	based on GO term	CC:1		FOXD5
FOXD4L3	forkhead box D4-like 3	based on GO term	CC:1		OTTHUMG00000019959, FOXD6
FOXD4L4	forkhead box D4-like 4	based on GO term	CC:1		bA460E7.2, OTTHUMG00000013337
FOXD4L5	forkhead box D4-like 5	based on GO term	CC:1		bA15J10.2, OTTHUMG00000013332
FOXD4L6	forkhead box D4-like 6	based on GO term	CC:1		OTTHUMG00000066822
FOXE1	forkhead box E1 (thyroid transcription factor 2)	based on GO term	CC:1	FKHL15, TITF2, FOXE2	TTF-2, HFKH4
FOXE3	forkhead box E3	based on GO term	CC:1	FKHL12	FREAC8
FOXF1	forkhead box F1	based on GO term	CC:1	FKHL5	FREAC1
FOXF2	forkhead box F2	based on GO term	CC:1	FKHL6	FREAC2
FOXG1	forkhead box G1	based on GO term	CC:1	FKHL2, FOXG1B, FKHL4, FKH2, FKHL1, FOXG1C, FKHL3, FOXG1A	HFK2, QIN, BF1, HFK1, HFK3, HBF-3
FOXH1	forkhead box H1	based on GO term	CC:1		FAST1
FOXI1	forkhead box I1	based on GO term	CC:1	FKHL10	FREAC6
FOXI2	forkhead box I2	based on GO term	CC:1		FLJ46831
FOXI3	forkhead box I3	based on GO term	CC:1		
FOXJ1	forkhead box J1	based on GO term	CC:1	FKHL13	HFH-4, HFH4
FOXJ2	forkhead box J2	based on GO term	CC:1		FHX
FOXJ3	forkhead box J3	based on GO term	CC:1		KIAA1041
FOXK1	forkhead box K1	based on GO term	CC:1		IMAGE:5164497
FOXK2	forkhead box K2	based on GO term	CC:1	ILF, ILF1	
FOXL1	forkhead box L1	based on GO term	CC:1	FKHL11	FREAC7, FKH6
FOXL2	forkhead box L2	based on GO term	CC:1	BPES	BPES1
FOXM1	forkhead box M1	based on GO term	CC:1	FKHL16	HFH-11, trident, HNF-3, INS-1, MPP2, MPHOSPH2, TGT3
FOXN1	forkhead box N1	based on GO term	CC:1	WHN, RONU	FKHL20
FOXN2	forkhead box N2	based on GO term	CC:1	HTLF	
FOXN3	forkhead box N3	based on GO term	CC:1	C14orf116, CHES1	
FOXN4	forkhead box N4	based on GO term	CC:1		
FOXO1	forkhead box O1	based on GO term	CC:1	FKHR, FOXO1A	FKH1
FOXO3	forkhead box O3	based on GO term	CC:1	FKHRL1, FOXO3A	AF6q21, FOXO2
FOXO4	forkhead box O4	based on GO term	CC:1	MLLT7	AFX1
FOXO6	forkhead box O6	based on GO term	CC:1		
FOXP1	forkhead box P1	based on GO term	CC:1		QRF1, 12CC4, HSPC215, hFKH1B
FOXP2	forkhead box P2	based on GO term	CC:1	TNRC10, SPCH1	CAGH44
FOXP3	forkhead box P3	based on GO term	CC:1	IPEX	JM2, XPID, AIID, PIDX, DIETER, SCURFIN
FOXP4	forkhead box P4	based on GO term	CC:1		FLJ40908
FOXQ1	forkhead box Q1	based on GO term	CC:1		HFH1
FOXR1	forkhead box R1	based on GO term	CC:1		DLNB13, FOXN5
FOXR2	forkhead box R2	based on GO term	CC:1		MGC21658, FOXN6
FOXS1	forkhead box S1	based on GO term	CC:1	FKHL18	FREAC10
FUBP1	far upstream element (FUSE) binding protein 1	based on GO term	CC:1	FUBP	FBP
GABPA	GA binding protein transcription factor, alpha subunit 60kDa	based on GO term	CC:1		E4TF1A, NFT2, NRF2, E4TF1-60, NRF2A
GABPB1	GA binding protein transcription factor, beta subunit 1	based on GO term	CC:1	GABPB2	E4TF1-47, GABPB
GAS7	growth arrest-specific 7	based on GO term	CC:1		KIAA0394, MGC1348
GATA1	GATA binding protein 1 (globin transcription factor 1)	based on GO term	CC:1	GF1	ERYF1, NFE1, GATA-1
GATA2	GATA binding protein 2	based on GO term	CC:1		NFE1B
GATA3	GATA binding protein 3	based on GO term	CC:1		HDR
GATA4	GATA binding protein 4	based on GO term	CC:1		
GATA5	GATA binding protein 5	based on GO term	CC:1		bB379O24.1
GATA6	GATA binding protein 6	based on GO term	CC:1		
GATAD1	GATA zinc finger domain containing 1	based on GO term	CC:1		ODAG, RG083M05.2, FLJ22489
GATAD2A	GATA zinc finger domain containing 2A	based on GO term	CC:1		p66alpha
GATAD2B	GATA zinc finger domain containing 2B	based on GO term	CC:1		P66beta
GBX1	gastrulation brain homeobox 1	based on GO term	CC:1		
GBX2	gastrulation brain homeobox 2	based on GO term	CC:1		
GCM1	glial cells missing homolog 1 (Drosophila)	based on GO term	CC:1	GCMA	hGCMa
GLI1	GLI family zinc finger 1	based on GO term	CC:1	GLI	
GLI2	GLI family zinc finger 2	based on GO term	CC:1		THP2, HPE9, THP1
GLI3	GLI family zinc finger 3	based on GO term	CC:1	GCPS, PHS	PAP-A, PAPA, PAPA1, PAPB, ACLS, PPDIV
GLIS3	GLIS family zinc finger 3	based on GO term	CC:1	ZNF515	MGC33662
GMEB1	glucocorticoid modulatory element binding protein 1	based on GO term	CC:1		P96PIF, PIF96
GMEB2	glucocorticoid modulatory element binding protein 2	based on GO term	CC:1		P79PIF, KIAA1269, PIF79
GSC	goosecoid homeobox	based on GO term	CC:1		
GSC2	goosecoid homeobox 2	based on GO term	CC:1	GSCL	
GSX1	GS homeobox 1	based on GO term	CC:1	GSH1	Gsh-1
GSX2	GS homeobox 2	based on GO term	CC:1		Gsh2
GTF2A1L	general transcription factor IIA, 1-like	based on GO term	CC:1		ALF
GTF2E1	general transcription factor IIE, polypeptide 1, alpha 56kDa	based on GO term	CC:1		TFIIE-A, FE
GTF2E2	general transcription factor IIE, polypeptide 2, beta 34kDa	based on GO term	CC:1		TFIIE-B, FE, TF2E2
GTF2H2	general transcription factor IIH, polypeptide 2, 44kDa	based on GO term	CC:1		BTF2, TFIIH, BTF2P44, T-BTF2P44
GTF2H3	general transcription factor IIH, polypeptide 3, 34kDa	based on GO term	CC:1		BTF2, TFIIH
GTF2H4	general transcription factor IIH, polypeptide 4, 52kDa	based on GO term	CC:1		TFB2, TFIIH
GTF2I	general transcription factor IIi	based on GO term	CC:1	WBSCR6	TFII-I, BAP-135, SPIN, BTKAP1, DIWS, IB291
GTF2IRD1	GTF2I repeat domain containing 1	based on GO term	CC:1	WBSCR11	MusTRD1, RBAP2, GTF3, WBSCR12, BEN, Cream1
GTF3A	general transcription factor IIIA	based on GO term	CC:1		TFIIIA, AP2
GTF3C1	general transcription factor IIIC, polypeptide 1, alpha 220kDa	based on GO term	CC:1		TFIIIC220
GTF3C2	general transcription factor IIIC, polypeptide 2, beta 110kDa	based on GO term	CC:1		KIAA0011, TFIIIC110
GTF3C3	general transcription factor IIIC, polypeptide 3, 102kDa	based on GO term	CC:1		TFiiiC2-102, TFIIIC102
GTF3C4	general transcription factor IIIC, polypeptide 4, 90kDa	based on GO term	CC:1		TFIIIC90, KAT12
GTF3C5	general transcription factor IIIC, polypeptide 5, 63kDa	based on GO term	CC:1		TFiiiC2-63, TFIIIC63, TFIIICepsilon
GTF3C6	general transcription factor IIIC, polypeptide 6, alpha 35kDa	based on GO term	CC:1	C6orf51	bA397G5.3, TFIIIC35
HAND1	heart and neural crest derivatives expressed 1	based on GO term	CC:1		eHand, Thing1, Hxt, bHLHa27
HAND2	heart and neural crest derivatives expressed 2	based on GO term	CC:1		dHand, Thing2, Hed, bHLHa26
HCFC1	host cell factor C1 (VP16-accessory protein)	based on GO term	CC:1	HFC1	HCF-1, HCF1, CFF, VCAF, MGC70925
HCFC2	host cell factor C2	based on GO term	CC:1		HCF-2
HCLS1	hematopoietic cell-specific Lyn substrate 1	based on GO term	CC:1		HS1, CTTNL
HDAC1	histone deacetylase 1	based on GO term	CC:1	RPD3L1	HD1, GON-10
HDAC2	histone deacetylase 2	based on GO term	CC:1		RPD3, YAF1
HDX	highly divergent homeobox	based on GO term	CC:1	CXorf43	FLJ30678
HELT	HES/HEY-like transcription factor	based on GO term	CC:1		HESL, HCM1228, Mgn, bHLHb44, MEGANE
HES6	hairy and enhancer of split 6 (Drosophila)	based on GO term	CC:1		bHLHb41
HESX1	HESX homeobox 1	based on GO term	CC:1		RPX, ANF
HEY1	hairy/enhancer-of-split related with YRPW motif 1	based on GO term	CC:1		HESR-1, CHF2, HESR1, HRT-1, CHF-2, HERP2, BHLHb31
HEY2	hairy/enhancer-of-split related with YRPW motif 2	based on GO term	CC:1		bHLHb32, HERP1
HEYL	hairy/enhancer-of-split related with YRPW motif-like	based on GO term	CC:1		bHLHb33, HEY3
HHEX	hematopoietically expressed homeobox	based on GO term	CC:1	PRHX	HEX, HOX11L-PEN
HIC1	hypermethylated in cancer 1	based on GO term	CC:1		ZBTB29, ZNF901
HIF1A	hypoxia inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)	based on GO term	CC:1		MOP1, HIF-1alpha, PASD8, HIF1, bHLHe78
HIF3A	hypoxia inducible factor 3, alpha subunit	based on GO term	CC:1		IPAS, MOP7, PASD7, bHLHe17
HINFP	histone H4 transcription factor	based on GO term	CC:1	MIZF	DKFZP434F162, HiNF-P, ZNF743
HIRA	HIR histone cell cycle regulation defective homolog A (S. cerevisiae)	based on GO term	CC:1	TUPLE1	DGCR1, TUP1
HLF	hepatic leukemia factor	based on GO term	CC:1		MGC33822
HLTF	helicase-like transcription factor	based on GO term	CC:1	SNF2L3, SMARCA3	HIP116A, HLTF1, RNF80
HLX	H2.0-like homeobox	based on GO term	CC:1	HLX1	HB24
HMBOX1	homeobox containing 1	based on GO term	CC:1		HNF1LA, PBHNF, FLJ21616
HMG20A	high-mobility group 20A	based on GO term	CC:1		HMGX1, FLJ10739, HMGXB1
