#symbol	mEpi_Sorted_d0	mEpi_d1	mEpi_d2	mEpi_d3	mEpi_d4	mEpi_d5	mEpi_d6	mEpi_d7	mEpi_d8	mEpi_d10	mEpi_d12	mEpi_d14	mEpi_d16	mEpi_d18	mEpi_d20	mEpi_d21
1110037F02Rik	68.52	67.2	62.13	62.04	71.51	83.5	88.16	63.87	45.34	42.5	47.48	44.24	39.33	32.15	35.99	38.9
1110038F14Rik	54.56	34.23	57.4	67.53	70.62	65.45	32.73	55.65	70.25	55.69	33.03	28.94	29.36	39.14	34.46	58.9
1110051M20Rik	26.7	25.38	26.26	39.77	41.28	46.17	45.13	45.53	58.55	68.37	82.62	73.05	82.28	78.6	77.44	92.33
1110057K04Rik	58.92	69.09	80.46	71.05	71.78	64.46	56.77	63.38	67.91	55.28	52.85	47.67	39.21	36.42	58.47	50.77
1110058L19Rik	15.07	17.46	28.18	13.47	43.1	33.12	48.97	45.94	15.02	56.81	53.91	38.97	30.29	47.92	48.23	49.47
1110059E24Rik	34.36	42.87	45.61	85.15	54.16	40.59	40.6	37.48	87.13	29.82	23.28	36.1	32.02	34.2	20.68	21.14
1110059G10Rik	0.25	3.18	2.92	3.33	2.2	3.13	2.6	6.52	0	5.61	2.66	5.13	3.69	4.21	2.96	3.66
1110059M19Rik	0	0	0	0	0	0	0	0	0	0	0	0	3.68	0	0	0
1110065P20Rik	4.49	15.59	17.97	12.03	22.35	5.14	20.18	21.79	46.18	32.13	28.08	30.93	48.69	36.84	54.95	42.79
1190002N15Rik	39.63	28.86	39.42	35.33	38.97	45.21	54.7	84.82	112.58	198.65	184.39	139.54	76.53	66.58	55.83	71.62
1190003K10Rik	0	0	0	0	0	0	0	0	0	0	1.38	0	0	0	0	0
1190005I06Rik	0	2.16	0	1.35	5.59	1.16	0	0	13.41	3.04	5.42	0	15.82	32.09	40.1	12.42
1190007I07Rik	17.23	17.51	21.57	25.66	14.56	22.09	22.06	33.13	20.66	9.02	23.53	24.74	33.17	29.15	14.25	14.72
1200014J11Rik	70.22	90.54	64.35	70.7	74.66	71.93	68.27	78.99	44.61	71.14	60.57	47.84	48.53	42.65	26.09	32.46
1300002K09Rik	1.62	0	0	0	0.26	0	1.39	0	0	0.35	0	0	0.28	0	0	0
1300017J02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500009L16Rik	21.95	37.86	35.55	16.14	37.62	43.03	24.42	18.61	48.91	23.48	67.12	42.72	45.25	35.27	56.25	83.66
1500012F01Rik	68.39	47.11	24.78	38.85	56.46	35.89	33.03	21.18	24.64	22.72	20.73	29.97	16.78	31.94	29.16	21.4
1500015O10Rik	0	0	0	0	0	2.16	1.41	4.31	0	17.05	37.09	66.62	95.49	59.94	132.32	168.25
1600002H07Rik	25.35	33.91	32.96	26.7	14.41	23.97	23.38	24.9	4.95	12.24	17.93	19.3	2.8	7.43	5.86	1.46
1600002K03Rik	2.53	1.35	1.35	0	0	1.45	1.9	1.45	0	9.54	0	4.36	0	2.68	0	0
1600012H06Rik	34.35	26.92	34.56	46.37	25.1	43.18	47.01	39.26	60.69	37.71	31.61	37.36	20.77	26.15	20.75	34.89
1600014C10Rik	4.53	4.83	13.33	3.91	9.11	9.13	17.11	7.58	21.15	20.8	19.93	22.87	21.44	28.12	14.76	17.55
1600014C23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.06
1600014K23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600015I10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600016N20Rik	1.64	1.31	1.31	0.55	0	1.41	0	0.47	4.89	0.62	0	0	0	0	0	0
1600029D21Rik	5.17	4.4	3.41	0.93	1.51	1.6	2.31	1.6	0	0	0	2.08	1.1	1.25	4.84	0.46
1600029I14Rik	0	0	0	0	0	0	0	0	0	0	0	3.93	0	18.12	19.62	28.07
1700001C02Rik	0	0	0	0	0	0	0	0	0	0	0	0	4.24	0	0	0
1700001C19Rik	1.03	1.11	2.21	0	0	1.06	0	0	2.75	0	0	0	0.62	1.1	0	1.91
1700001F09Rik	0	0	0	0	0	0	0	2.2	1.28	0	0	0	0	0	0	0
1700001J03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700001K19Rik	0	0	0	0	0	0	0	0	0	0	1.59	0	0	0	1.18	0
1700001L19Rik	0	0	0	0	0	0	0	0	0	0	0	2.4	11.19	5.9	6.76	4.57
1700001O22Rik	0	0	0.54	0	1.67	1.15	0	1.72	2.67	0	0	2.6	2.42	0.53	0	0.62
1700001P01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700003E16Rik	0	0.44	0	0	1.36	0	2.45	0.93	0	6.78	5.11	9.86	7.88	9.52	21.1	16.09
1700003F12Rik	1.22	0	2.6	3.26	0	1.4	0	0	0	0	0	4.2	2.94	0	1.61	1.5
1700003M02Rik	0.99	1.6	5.31	0	0	0.57	0.75	1.14	2.64	4.5	4.45	11.15	13.2	27.41	23.71	43.47
1700006A11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700006E09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007G11Rik	9.77	1.31	0	0	0	0	0	0	0	0	10.92	10.52	5.89	18.11	21.01	16.53
1700007K09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700007K13Rik	1.05	3.37	6.73	2.82	8.14	8.43	0	1.2	4.19	11.08	3.76	34.4	39.27	55.66	75.1	116.36
1700008A04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008F21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008I05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700008O03Rik	0.93	1	0	2.5	3.09	3.2	0	0	4.95	0	11.66	3.21	2.25	0.99	3.7	2.29
1700008P02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700009N14Rik	0	0	0	0	2.23	0	0	0	0	0	0	1.16	0	0	0	0
1700009P17Rik	9.01	0	11.38	6.59	0	1.88	2.46	0.94	6.53	13.59	16.12	42.38	62.26	90.32	130.21	124.07
1700010B08Rik	0	0	0	0	0	0	1.42	0	0	0	0	0	0	0	0	0
1700010D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700010I14Rik	8.54	3.55	10.14	1.91	5.78	7.07	7.11	5.96	5.04	5.01	5.09	4.09	5.72	8.04	2.51	8.17
1700011A15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011E24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700011H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0.77	0	0
1700011I03Rik	0	0	0	0	0	0	0	0	0	0	0	0	4.04	1.77	7.76	5.15
1700011L22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012A03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012B07Rik	0	0	0	1.1	0	0	0	0	0	0	0	0	0	0	0	0
1700012B09Rik	0	0	0	0	0	0	0	0	0	0	0	6.53	21.33	29.46	36.81	48.22
1700012L04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700012P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013D24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013F07Rik	0	0	0	0	0	0	0	0	0	0	0	6.72	9.4	6.88	13.76	8
1700013G24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700013H16Rik	0	17.7	0	1.85	0	0	0	0	0	0	0	0	0	0	0	0
1700015E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015F17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700015G11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016C15Rik	0	0	0	0	0	0	0	0	0	0	0	1.92	0	0	0	0
1700016D06Rik	5.6	3.55	1.48	3.11	0	1.91	0	5.48	6.14	2.62	1.21	4.48	6.42	0	0	0
1700016H13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700016K19Rik	0	0	0	0	0	0	0	0	0	0	0	6.36	20.03	14.67	29.32	55.65
1700017B05Rik	12.98	27.04	31.16	16.05	19.03	16.04	4.8	4.05	0.45	1.27	2.71	2.03	3.05	4.47	3.12	2.7
1700017D01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700017N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.61
1700018B08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018C11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700018F24Rik	0	0	0	0	0	0	1.13	0	0	0	0	0	0	0	0	0
1700019A02Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019B03Rik	1.56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019D03Rik	9.84	14.44	5.87	6.44	3.8	2.62	5.49	3.87	6.38	4.48	3.68	14.2	14.63	7.03	11.21	7.6
1700019G17Rik	8.82	3.25	1.77	1.87	1.73	3.44	6.02	5.37	0	10.42	10.38	7.15	7.67	14.25	11.35	11.23
1700019L03Rik	0	0	0	0	0	0	0	0	0	0	0	4.18	2.93	5.14	4.5	10.75
1700019M22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019N19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700019O17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020A23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700020L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	1.92	0	0
1700020N15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021F05Rik	55.87	21.27	19.22	22.85	41.93	53.21	55.39	40.05	5.03	31.41	18.63	47.34	55.96	47.17	75.24	37.3
1700021F07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700021K19Rik	9.33	6.26	10.98	9.54	8.75	10.16	10.44	13.2	9.88	21.24	23.76	20.17	18.5	20.62	24.15	15.96
1700022I11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700022P22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.14	0
1700023E05Rik	0.98	0	0	0	0	0	0	0	0	0	0	4.21	0	1.03	1.29	0
1700023F06Rik	0.75	0	0	0	0	0	0	0	0	0	0	0	2.71	3.18	0	0
1700024G13Rik	0	0	0	0	0	0	6.64	0	0	0	0	0	5.34	9.38	26.37	65.38
1700024P04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700024P16Rik	0	0	0	0	2.06	2.13	0	0	0	0	0	0	0	0.56	0	0
1700025F22Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700025G04Rik	10.81	10.95	31.81	21.96	28.62	26.51	36.23	32.28	33.22	24.63	37.14	22.11	21.74	25.79	23.98	16.23
1700026D08Rik	0	0	0	0	0	0	0	0	0	3.81	1.13	3.26	24.36	19.4	50.16	53.62
1700026L06Rik	1.28	0	1.37	5.15	0	0	0	0	0	0	0	4.41	9.26	1.36	1.69	7.87
1700028K03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700028P14Rik	0	2.1	0	3.94	0	0	0	0	0	0	1.75	6.76	21.29	28.06	45.45	38.63
1700029F12Rik	0.75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029H14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029I15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700029J07Rik	5.53	0	0	1.65	3.37	1.06	2.77	1.05	1.21	2.3	3.88	4.26	7.02	8.08	7.67	4.13
1700029P11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700030J22Rik	2.25	0.3	1.2	4.14	4.35	2.58	5.9	2.57	4.48	5.93	4.52	1.94	12.53	12.5	4.46	11.06
1700030K09Rik	6.94	2.47	3.4	2.33	3.52	1.99	10.84	4.3	6.14	9.59	5.69	7.97	5.58	7.66	13.4	8.9
1700031F05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034E13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034J05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700034O15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700037C18Rik	4.56	3.26	2.65	5.21	1.45	2.59	1	2.59	5.76	0.8	12.21	7.49	1.27	7.25	0.9	1.59
1700037H04Rik	36.73	41.46	56.68	90.27	60.22	48.35	58.14	49.75	29.81	28.71	18.25	25.79	26.25	27.39	31.52	50.23
1700039E15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700040L02Rik	0	0	0	0	0	0	0	1.53	0	0	0	2.3	0	14.17	15.05	20.57
1700042B14Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700042G07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700047I17Rik2	38.99	55.99	46.61	26.38	23.92	45.22	32.49	36.74	34.97	110.92	145.04	153.5	247.01	251.79	290.21	309.4
1700049G17Rik	4.35	2.78	9.48	7.33	10.67	12.37	11.65	17.56	28.65	20.93	26.5	20.37	14.89	13.91	11.75	12.05
1700052N19Rik	38.2	54.11	35.3	59.06	22.86	20.92	36.65	31.94	25.6	20.24	11.7	21.36	12.87	12.76	10.48	8.47
1700054O13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700055N04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12
1700056E22Rik	0	3.76	1.88	0	0	1.01	0	0	5.83	1.32	1.57	0	1.06	0	0	1.08
1700057G04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700061G19Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700065D16Rik	0	0	0.64	2.02	0	1.04	0	0	0	0.45	0	0	0	0	0	0
1700065I17Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700066B19Rik	0	0	0	0	0	0	0	0	0	0	0.76	0	0	0	0.44	0
1700066M21Rik	4.16	3.56	3.26	7.81	5.22	4.13	10.4	10.78	34.27	11.29	7.44	15.78	20.4	14.11	20.2	9.56
1700067K01Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700067P10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700074P13Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080E11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700080O16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700084C01Rik	2.42	0	1.04	1.95	2.68	0	0	3.33	2.58	16.08	17.34	42.63	42.1	40.59	89.24	79.97
1700088E04Rik	0.67	0	0	0	3.73	4.63	0	2.31	0	7.11	0	15.09	15.43	26.41	16.94	17.83
1700092M07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700093K21Rik	3.83	0	0	0	0	0	0	0	0	0	0	1.1	0	0	0	0
1700094D03Rik	10.56	5.33	2.6	4.73	1.78	3.67	6.06	3.72	13.51	10.59	16.9	27.88	19.72	24.44	32.09	79.02
1700101E01Rik	0	0	7.55	0	0	0	0	0	0	0	1.46	7.04	2.96	1.73	3.25	16.09
1700102P08Rik	0	0	0	0	0	0	0	0	0	3.5	1.38	2.67	2.8	1.64	0	0
1700106J16Rik	0	0	0	0	0	0	5.19	0	0	0	0	0	0	0	0	0
1700109H08Rik	4.42	5.91	3.54	0	14.29	2.53	0	5.05	0	0	9.88	0	0	0	0	0
1700110M21Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700112E06Rik	0	1	0	0	0	0	0	2.14	0	0	0	1.61	6.77	0	0	9.22
1700113H08Rik	0	0	0	0	2.08	0	0	0	0	0	0	0	0	0.66	0	0
1700122O11Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700123I01Rik	0	0	0	0	0	0	0	0	0	0	0	2.78	0	0	0	0
1700123K08Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1700123O20Rik	11.98	19.46	20.83	22.61	17.19	21.98	25.29	13.19	32.42	18.73	23.81	13	11.24	14.11	19.39	12.56
1700125H20Rik	0	0	0	0	0	0	0	0	0	0	0	0	2.12	0	0	3.24
1700129C05Rik	0	0	0	0	0	0	0	0.91	0	0	0	0	0	0	0	0
1810009A15Rik	100.83	61.41	40.4	45.06	68.21	57.81	71.41	32.01	46.51	27.45	27.55	16.9	15.2	23.75	24.11	31.03
1810009J06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810011H11Rik	0	1.83	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810011O10Rik	15.83	4.74	24.36	24.62	26.64	7.99	1.9	13.03	0	5.73	4.53	13.1	6.87	8.72	5.03	6.24
1810013L24Rik	43	58.04	63.91	65.61	62.56	72.55	94.28	104.15	93.85	112.68	101.45	120.01	98.04	124.56	93.55	92.66
1810019J16Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.42
1810024B03Rik	4	0.71	0	1.79	0	0	0	0.76	0	3.3	0.87	2.3	0	0	0	0
1810026J23Rik	33.15	46.43	53.69	68.08	69.89	102.07	90.75	121.48	113.58	168.97	151.05	123.8	121.51	115.71	86.05	87.11
1810030O07Rik	34.92	19.27	16.55	34.24	27.8	31.43	33.92	34.17	33.09	30.65	35.85	24.22	24.74	18.6	28.7	21.66
1810033B17Rik	0	0	0	0	0	0.86	0	0	0	0	0	0	0	0	0	0
1810037I17Rik	21.83	27.83	33.18	50.65	31.59	35.61	31.47	26.86	54.64	24.05	34.53	54.98	92.12	122.76	128.94	100.23
1810041L15Rik	0.84	3.16	1.2	1.7	6.07	5.64	16.65	18.35	16.98	35.16	37.95	36.81	26.94	28.89	32	29.73
1810043G02Rik	7.38	9.38	26.12	9.28	26.56	23.28	28.37	17.93	0	23.65	15.68	26.24	23.92	38.14	31.16	21.01
1810043H04Rik	7.66	25.76	9.36	24.93	29.08	21.34	6.57	13.76	13.09	4.95	9.79	9.44	17.16	16.24	1.45	21.56
1810046K07Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1810055G02Rik	33.86	46.5	41.88	34.64	41.91	33.71	28.06	13.75	17.75	21.49	28.68	19.96	26.32	20.77	21.83	35.09
1810062G17Rik	0	0	0	0	0	0	0	0	0	0	0	0	2.25	0	0	0
1810065E05Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010001E11Rik	3.09	0	2.75	0	1.62	2.94	2.2	3.28	0	3.7	1.96	0	1.49	1.33	0	0
2010002M12Rik	0.37	1.06	0.53	1.99	0	0	1.49	0.85	0	0.75	2.18	2.36	0	1.05	3.28	0.72
2010003K11Rik	0	0	0	0	2.41	0	0	0	0	0	0	0	0	0	0	0
2010005H15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010012O05Rik	4.74	4.09	10.12	6.28	18.55	19.57	4.84	9.46	15.86	18.65	16.75	12.84	14.55	11.41	14.77	18.94
2010015L04Rik	16.66	11.67	10.26	9.09	14.56	11.71	12.01	19.31	7.08	14.27	15.6	17.52	9.85	10.87	11.47	16.56
2010106E10Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2010107E04Rik	109.22	147.97	70.02	117.15	59.11	102.98	109.2	133.16	374.02	109.78	121.56	104.6	172.7	87.46	160.7	110.54
2010107G12Rik	0	0	0.35	0	0	0	0	0	0	0	0	0	0	0.41	0	0
2010107G23Rik	1.9	0	1.52	8.9	5.78	8.16	12.09	14.1	12.6	28.62	50.05	28.62	44.04	24.63	22.61	17.51
2010109A12Rik	0	0	0	0	0	1.81	0	5.41	0	2.38	0	0	0	0	0	0
2010109I03Rik	0	0	1.97	1.21	0	0.53	7.57	3.82	1.77	2.72	0.34	0	0.39	0	0.79	0
2010111I01Rik	9.02	6.35	2.79	0.64	6.57	4.63	1.42	0.81	0.95	2.86	1.27	6.14	1.72	3.78	5.98	5.55
2010300C02Rik	0	0	0.19	0	1.39	0.62	0	0.62	0	0.81	2.57	0.31	3.9	1.71	5.23	7.07
2010315B03Rik	5.61	18.81	18.99	20.22	21.64	9.01	19.22	20.9	32.02	19.58	26.31	39.24	13.99	10.06	16.33	11.34
2200002D01Rik	18.22	9.43	6.91	0.79	0.65	2.7	0.9	0	0	0.89	0	1.01	2.84	0	0	3.62
2200002J24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210010C04Rik	0	0	0	0	0	0	0	0	0	0	0	0	0.47	0	0	0
2210016F16Rik	4.45	11.39	2.53	5.95	5.89	5.34	6.21	3.38	0.79	2.68	3.22	11.73	2.14	1.57	8.23	7.28
2210016L21Rik	18.26	14.05	11.3	7.3	10.29	20.94	18.26	21.24	34.05	29.95	31.52	37.56	39.42	43.81	39.04	44.57
2210018M11Rik	28.9	17.7	24.43	29.67	32.91	34.09	37.73	36.36	26.24	28.49	14.13	13.62	12.54	14.32	14.59	9.21
2210404O07Rik	0	0	0	0	0	0	0	0	0	0	0	0	2.28	3	0	0
2210404O09Rik	6.16	5.67	15.4	11.77	7.96	6.73	18.67	9.68	53.09	33.38	19.2	25.88	14.79	11.18	8	14.09
2210407C18Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2210408I21Rik	0.73	3.12	5.46	2.69	2.42	5.02	9.03	3.34	4.36	9.08	5.55	8.81	6.16	8.71	7.49	14.16
2300002M23Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2300003K06Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2300005B03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2300009A05Rik	1.44	0	6.16	3.87	4.79	3.31	10.81	11.54	7.66	13.04	10.32	9.94	8.69	9.17	24.82	15.97
2310002J15Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310002L09Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310003H01Rik	4.18	5.59	11.16	10.15	11.56	16.47	13.32	23.88	16.31	35.44	46.25	37.37	30.55	40.13	38.39	39.54
2310005G13Rik	1.33	0.29	2.06	9.01	0	0	2.12	7.21	0	0	6.98	13.1	0	0	0	0
2310007B03Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310007L24Rik	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2310009B15Rik	3.03	17.8	6.47	14.2	15.07	6.94	11.35	10.38	12.06	6.84	8.12	13.04	12.77	14.43	6.01	3.72
2310011J03Rik	10.7	11.98	3.81	12.97	9.58	6.42	7.64	8.73	2.03	6.91	1.82	11.41	10.44	5.94	19.56	8.15
2310014L17Rik	4.57	2.2	3.3	3.11	3.42	9.15	11.58	8.83	8.55	4.27	0.92	5.32	1.24	4.09	4.43	2.54
2310022A10Rik	12.05	23.45	18.97	8.5	23.17	18.13	18.07	15.95	18.11	21.04	16.39	8.27	17.77	11.09	11.34	12.49
2310022B05Rik	30.6	26.78	50.25	52.8	44.23	47.27	26.55	28.04	26.87	43.84	48.4	60.59	67.7	103.18	96.1	100.85
